transaction_id,transaction_type,category,amount,transaction_date,notes
1,支出,行,8270,2024-09-29,
2,收入,住,7101,2024-08-01,
3,支出,行,310,2024-09-22,Sample note for transaction ID 3
4,支出,衣,8020,2024-03-16,
5,支出,住,7247,2024-03-27,Sample note for transaction ID 5
6,收入,行,2106,2024-03-17,
7,收入,行,1117,2024-08-15,
8,支出,食,2770,2024-07-26,
9,收入,住,5856,2023-11-20,Sample note for transaction ID 9
10,收入,住,8884,2024-08-03,
11,收入,食,6158,2024-03-15,Sample note for transaction ID 11
12,支出,行,6291,2023-12-09,Sample note for transaction ID 12
13,收入,住,261,2024-08-27,Sample note for transaction ID 13
14,收入,衣,4380,2024-02-17,Sample note for transaction ID 14
15,收入,行,3523,2024-05-30,
16,支出,住,7455,2024-02-01,
17,支出,衣,7648,2024-07-09,
18,支出,衣,6844,2024-08-28,Sample note for transaction ID 18
19,支出,行,2568,2024-10-01,Sample note for transaction ID 19
20,支出,衣,2156,2024-01-02,
21,收入,行,3099,2024-04-20,Sample note for transaction ID 21
22,支出,衣,8316,2024-06-22,Sample note for transaction ID 22
23,支出,食,5886,2023-12-21,
24,收入,食,2259,2024-01-07,Sample note for transaction ID 24
25,收入,衣,8966,2023-12-24,Sample note for transaction ID 25
26,收入,行,6562,2024-08-18,Sample note for transaction ID 26
27,收入,食,7788,2024-03-07,
28,收入,行,7712,2024-03-27,Sample note for transaction ID 28
29,收入,行,420,2024-07-29,
30,收入,行,1858,2024-08-09,Sample note for transaction ID 30
31,收入,衣,7048,2024-07-13,Sample note for transaction ID 31
32,收入,衣,8035,2024-03-23,
33,收入,食,6864,2024-09-03,Sample note for transaction ID 33
34,收入,住,34,2024-08-08,
35,支出,食,1118,2024-01-08,Sample note for transaction ID 35
36,收入,衣,7720,2024-02-02,
37,收入,行,3537,2024-04-01,
38,收入,食,7816,2024-10-12,
39,支出,住,1207,2024-07-29,
40,收入,住,963,2024-01-24,Sample note for transaction ID 40
41,收入,食,8017,2024-02-08,
42,收入,食,1208,2023-12-17,Sample note for transaction ID 42
43,收入,衣,3875,2024-03-11,Sample note for transaction ID 43
44,收入,食,392,2023-12-27,
45,支出,住,7994,2024-08-07,
46,支出,衣,2565,2024-04-25,
47,支出,行,5568,2024-06-10,
48,支出,衣,1733,2024-03-11,
49,收入,住,9713,2024-03-20,
50,收入,行,5003,2024-08-21,
51,收入,衣,816,2024-04-06,Sample note for transaction ID 51
52,收入,食,7410,2024-01-24,Sample note for transaction ID 52
53,收入,衣,1180,2024-10-04,
54,支出,衣,1444,2024-07-22,Sample note for transaction ID 54
55,支出,住,1060,2024-10-24,Sample note for transaction ID 55
56,支出,行,7977,2024-08-21,Sample note for transaction ID 56
57,收入,行,3711,2024-08-13,Sample note for transaction ID 57
58,收入,行,4400,2024-09-18,
59,收入,行,8642,2024-02-05,Sample note for transaction ID 59
60,支出,衣,1750,2024-08-19,
61,收入,食,5164,2023-12-13,
62,收入,食,734,2024-01-30,Sample note for transaction ID 62
63,收入,食,6917,2024-04-22,Sample note for transaction ID 63
64,支出,行,2501,2024-04-11,Sample note for transaction ID 64
65,收入,食,7209,2024-03-01,
66,收入,住,4727,2024-10-10,Sample note for transaction ID 66
67,收入,食,6624,2024-08-19,Sample note for transaction ID 67
68,支出,食,1746,2024-06-27,
69,收入,住,9407,2024-10-24,Sample note for transaction ID 69
70,收入,住,878,2024-09-25,
71,支出,食,9205,2023-11-13,Sample note for transaction ID 71
72,支出,住,6759,2024-01-29,
73,收入,衣,7902,2023-12-04,
74,支出,衣,9486,2024-03-07,
75,支出,行,179,2023-11-13,
76,支出,行,6619,2023-11-23,
77,收入,行,956,2023-12-03,Sample note for transaction ID 77
78,收入,食,6569,2024-05-20,Sample note for transaction ID 78
79,收入,食,5366,2024-07-26,
80,收入,行,5044,2024-01-14,
81,支出,住,2929,2024-06-07,Sample note for transaction ID 81
82,支出,衣,3740,2024-07-12,Sample note for transaction ID 82
83,收入,住,5650,2024-07-25,
84,支出,住,1080,2024-08-20,Sample note for transaction ID 84
85,支出,行,3741,2024-04-11,Sample note for transaction ID 85
86,收入,行,1631,2024-07-14,
87,收入,衣,4356,2023-11-07,Sample note for transaction ID 87
88,支出,住,5301,2024-07-23,Sample note for transaction ID 88
89,支出,行,4346,2024-08-29,Sample note for transaction ID 89
90,支出,衣,5145,2024-04-27,
91,支出,衣,9966,2024-10-12,Sample note for transaction ID 91
92,支出,行,245,2023-11-25,
93,支出,食,6164,2024-02-15,Sample note for transaction ID 93
94,支出,衣,1312,2024-06-15,Sample note for transaction ID 94
95,支出,食,3802,2024-01-12,Sample note for transaction ID 95
96,收入,衣,6693,2024-08-31,
97,收入,行,9236,2024-06-21,Sample note for transaction ID 97
98,收入,行,2425,2024-08-26,Sample note for transaction ID 98
99,支出,衣,6660,2024-05-12,
100,支出,食,958,2024-06-22,
